definition,g.cat,s.cat
ouch,sounds,sounds
out,locations,locations
outside,outside,places
oven,furniture_rooms,furniture_rooms
owie/boo boo,body_parts,body_parts
owl,animals,animals
pajamas,clothing,clothing
pants,clothing,clothing
paper,household,household
park,outside,places
party,outside,places
pattycake,games_routines,games_routines
peas,food_drink,food_drink
peekaboo,games_routines,games_routines
pen,toys,toys
penguin,animals,animals
penny,household,household
people,people,people
person,people,people
picture,household,household
pig,animals,animals
pillow,household,household
pizza,food_drink,food_drink
plant,household,household
plate,household,household
play,action_words,action_words
play pen,furniture_rooms,furniture_rooms
please,games_routines,games_routines
pony,animals,animals
pool,outside,outside
potty,furniture_rooms,furniture_rooms
pretty,descriptive_words,descriptive_words
pull,action_words,action_words
puppy,animals,animals
purse,household,household
push,action_words,action_words
put,action_words,action_words
quack quack,sounds,sounds
radio,household,household
rain,outside,outside
raisin,food_drink,food_drink
read,action_words,action_words
red,descriptive_words,descriptive_words
refrigerator,furniture_rooms,furniture_rooms
ride,action_words,action_words
rock,outside,outside
rocking chair,furniture_rooms,furniture_rooms
run,action_words,action_words
same,quantifiers,quantifiers
say,action_words,action_words
scared,descriptive_words,descriptive_words
school,outside,places
scissors,household,household
see,action_words,action_words
sheep,animals,animals
shh/shush/hush,games_routines,games_routines
shirt,clothing,clothing
shoe,clothing,clothing
shorts,clothing,clothing
shovel,outside,outside
show,action_words,action_words
sick,descriptive_words,descriptive_words
sing,action_words,action_words
sink,furniture_rooms,furniture_rooms
sister,people,people
sky,outside,outside
sleep,action_words,action_words
sleepy,descriptive_words,descriptive_words
slide (object),outside,outside
smile,action_words,action_words
snow,outside,outside
soap,household,household
sock,clothing,clothing
soft,descriptive_words,descriptive_words
some,quantifiers,quantifiers
spaghetti,food_drink,food_drink
splash,action_words,action_words
spoon,household,household
squirrel,animals,animals
stairs,furniture_rooms,furniture_rooms
star,outside,outside
stop,action_words,action_words
store,outside,places
stove,furniture_rooms,furniture_rooms
stroller,vehicles,vehicles
sun,outside,outside
sweater,clothing,clothing
swim,action_words,action_words
swing (action),action_words,action_words
swing (object),outside,outside
table,furniture_rooms,furniture_rooms
take,action_words,action_words
teacher,people,people
teddybear,animals,animals
telephone,household,household
thank you,games_routines,games_routines
that,pronouns,pronouns
there,locations,locations
thirsty,descriptive_words,descriptive_words
this,pronouns,pronouns
throw,action_words,action_words
tickle,action_words,action_words
tiger,animals,animals
tired,descriptive_words,descriptive_words
toast,food_drink,food_drink
today,time_words,time_words
toe,body_parts,body_parts
tomorrow,time_words,time_words
tongue,body_parts,body_parts
tonight,time_words,time_words
tooth,body_parts,body_parts
toothbrush,household,household
touch,action_words,action_words
towel,household,household
toy (object),toys,toys
train,vehicles,vehicles
trash,household,household
tree,outside,outside
truck,vehicles,vehicles
tummy,body_parts,body_parts
turkey,animals,animals
turtle,animals,animals
TV,furniture_rooms,furniture_rooms
uh oh,sounds,sounds
uncle,people,people
under,locations,locations
up,locations,locations
vacuum,household,household
vroom,sounds,sounds
wait,games_routines,action_words
walk,action_words,action_words
wanna/want to,games_routines,helping_verbs
wash,action_words,action_words
watch (action),action_words,action_words
watch (object),household,household
water (beverage),food_drink,food_drink
water (not beverage),outside,outside
wet,descriptive_words,descriptive_words
what,question_words,question_words
when,question_words,question_words
where,question_words,question_words
who,question_words,question_words
why,question_words,question_words
window,furniture_rooms,furniture_rooms
wipe,action_words,action_words
woof woof,sounds,sounds
work (place),outside,places
write,action_words,action_words
yes,games_routines,games_routines
you,pronouns,pronouns
your,pronouns,pronouns
yucky,descriptive_words,descriptive_words
yum yum,sounds,sounds
zipper,clothing,clothing
zoo,outside,places
